group,id,time,y
ch,1,0,17.7
ch,1,30,11.44
ch,1,60,12.68
ch,1,90,14.64
ch,1,120,16.78
ch,2,0,17.22
ch,2,30,13.28
ch,2,60,14.74
ch,2,90,17.34
ch,2,120,17.64
ch,3,0,14.24
ch,3,30,9.62
ch,3,60,9.6
ch,3,90,11.2
ch,3,120,13.98
ch,4,0,39.58
ch,4,30,29.8
ch,4,60,34.45
ch,4,90,38.65
ch,4,120,39.36
ch,5,0,13.33
ch,5,30,7.94
ch,5,60,9.28
ch,5,90,10.95
ch,5,120,12.35
ch,6,0,16.16
ch,6,30,9.8
ch,6,60,10.7
ch,6,90,12.6
ch,6,120,14.78
cl,7,0,16.35
cl,7,30,13.58
cl,7,60,15.58
cl,7,90,16.1
cl,7,120,16.25
cl,8,0,15.65
cl,8,30,12.76
cl,8,60,13.54
cl,8,90,15.16
cl,8,120,13.4
cl,9,0,12.68
cl,9,30,10.98
cl,9,60,12.02
cl,9,90,12.25
cl,9,120,12.54
cl,10,0,21.88
cl,10,30,17.04
cl,10,60,19.26
cl,10,90,21.03
cl,10,120,22.65
cl,11,0,12.78
cl,11,30,9.54
cl,11,60,9.94
cl,11,90,11.5
cl,11,120,12.08
cl,12,0,15.58
cl,12,30,12.06
cl,12,60,13
cl,12,90,13.18
cl,12,120,13.85
co,13,0,20.75
co,13,30,18.84
co,13,60,19.75
co,13,90,19.13
co,13,120,19.43
co,14,0,13.88
co,14,30,13.16
co,14,60,13.86
co,14,90,14.1
co,14,120,13.42
co,15,0,11.92
co,15,30,10.9
co,15,60,11.98
co,15,90,11.48
co,15,120,12.03
co,16,0,26.38
co,16,30,27.73
co,16,60,27.54
co,16,90,27.58
co,16,120,28.83
co,17,0,13.3
co,17,30,13.43
co,17,60,13.28
co,17,90,12.98
co,17,120,13.08
co,18,0,13.8
co,18,30,13.76
co,18,60,13.86
co,18,90,13.82
co,18,120,13.7
