Date,AQI Category,Ozone AQI Value
1/1/2017,Good,48
1/2/2017,Good,43
1/3/2017,Good,42
1/4/2017,Good,42
1/5/2017,Good,46
1/6/2017,Good,44
1/7/2017,Good,45
1/8/2017,Good,38
1/9/2017,Good,43
1/10/2017,Good,44
1/11/2017,Good,45
1/12/2017,Good,44
1/13/2017,Good,47
1/14/2017,Good,43
1/15/2017,Good,34
1/16/2017,Good,40
1/17/2017,Good,49
1/18/2017,Good,50
1/19/2017,Good,45
1/20/2017,Good,45
1/21/2017,Good,45
1/22/2017,Good,48
1/23/2017,Moderate,64
1/24/2017,Moderate,64
1/25/2017,Good,44
1/26/2017,Good,44
1/27/2017,Good,47
1/28/2017,Good,47
1/29/2017,Good,48
1/30/2017,Good,45
1/31/2017,Good,46
2/1/2017,Good,46
2/2/2017,Good,44
2/3/2017,Good,46
2/4/2017,Good,46
2/5/2017,Good,50
2/6/2017,Good,47
2/7/2017,Good,45
2/8/2017,Good,45
2/9/2017,Good,36
2/10/2017,Good,35
2/11/2017,Good,45
2/12/2017,Good,45
2/13/2017,Good,48
2/14/2017,Good,49
2/15/2017,Good,49
2/16/2017,Good,49
2/17/2017,Good,48
2/18/2017,Good,43
2/19/2017,Moderate,51
2/20/2017,Good,50
2/21/2017,Good,45
2/22/2017,Good,45
2/23/2017,Moderate,61
2/24/2017,Good,44
2/25/2017,Good,47
2/26/2017,Moderate,64
2/27/2017,Moderate,61
2/28/2017,Good,49
3/1/2017,Good,49
3/2/2017,Moderate,51
3/3/2017,Moderate,54
3/4/2017,Moderate,67
3/5/2017,Moderate,64
3/6/2017,Good,47
3/7/2017,Good,48
3/8/2017,Good,45
3/9/2017,Good,45
3/10/2017,Good,45
3/11/2017,Moderate,54
3/12/2017,Good,50
3/13/2017,Good,49
3/14/2017,Moderate,54
3/15/2017,Moderate,51
3/16/2017,Moderate,61
3/17/2017,Moderate,51
3/18/2017,Moderate,67
3/19/2017,Moderate,67
3/20/2017,Good,46
3/21/2017,Good,48
3/22/2017,Good,49
3/23/2017,Moderate,54
3/24/2017,Moderate,58
3/25/2017,Moderate,61
3/26/2017,Moderate,51
3/27/2017,Good,50
3/28/2017,Good,45
3/29/2017,Good,49
3/30/2017,Good,42
3/31/2017,Good,39
4/1/2017,Good,45
4/2/2017,Moderate,54
4/3/2017,Moderate,54
4/4/2017,Good,45
4/5/2017,Moderate,58
4/6/2017,Moderate,51
4/7/2017,Moderate,51
4/8/2017,Good,50
4/9/2017,Moderate,100
4/10/2017,Moderate,90
4/11/2017,Moderate,84
4/12/2017,Moderate,87
4/13/2017,Moderate,77
4/14/2017,Moderate,87
4/15/2017,Moderate,71
4/16/2017,Moderate,84
4/17/2017,Moderate,67
4/18/2017,Moderate,67
4/19/2017,Moderate,74
4/20/2017,Moderate,90
4/21/2017,Moderate,64
4/22/2017,Unhealthy for Sensitive Groups,140
4/23/2017,Unhealthy for Sensitive Groups,133
4/24/2017,Moderate,84
4/25/2017,Good,49
4/26/2017,Good,48
4/27/2017,Moderate,71
4/28/2017,Moderate,74
4/29/2017,Moderate,58
4/30/2017,Moderate,87
5/1/2017,Good,50
5/2/2017,Good,48
5/3/2017,Moderate,64
5/4/2017,Moderate,84
5/5/2017,Moderate,80
5/6/2017,Moderate,58
5/7/2017,Moderate,51
5/8/2017,Moderate,51
5/9/2017,Moderate,54
5/10/2017,Good,49
5/11/2017,Moderate,67
5/12/2017,Moderate,77
5/13/2017,Moderate,80
5/14/2017,Moderate,77
5/15/2017,Moderate,84
5/16/2017,Moderate,67
5/17/2017,Moderate,58
5/18/2017,Moderate,54
5/19/2017,Good,45
5/20/2017,Good,50
5/21/2017,Moderate,64
5/22/2017,Moderate,61
5/23/2017,Moderate,51
5/24/2017,Good,50
5/25/2017,Moderate,61
5/26/2017,Moderate,61
5/27/2017,Moderate,51
5/28/2017,Moderate,61
5/29/2017,Moderate,54
5/30/2017,Moderate,90
5/31/2017,Moderate,93
